Indicator,Value,date
Waiting time in months for elective surgeries (e.g. ENT) at Shifa Hospital,12,01/12/17
% of denied and delayed permits to cross EREZ,0.48,01/12/17
Total number of medical applications submitted to EREZ Crossings,2170,01/12/17
Percentage of drugs at Zero Stock,0.44,01/12/17
Quantity of wastewater flows into the sea (Cubic Meter),3144086,01/12/17
Access to piped water (Litre/capita/day),70,01/12/17
Desalination plants production (m3\month,64490,01/12/17
Quality of wastewater flows into the sea (Effluent BOD mg/lt)*,261,01/12/17
Unemployment Rate /Youth,0.43,01/12/17
GDP per capita,438.5,01/12/17
Reduced food quality,0.35,01/12/17
Borrowed food/money from relatives or friends,0.4,01/12/17
% of PA teachers attending,0.665,01/12/17
% of dropout,0.0027,01/12/17
Hours per day (electricity),6,01/01/18
# of days of fuel availability - WASH,30,01/01/18
# of days of fuel availability - HEALTH,30,01/01/18
# of days of fuel availability - SOLID WASTE,30,01/01/18
Monthly fuel reqirement (in million liters) to cover the electrcity shortage,1.4,01/01/18
# of shooting  incidents in ARA Sea/Land,33,01/01/18
# of fatalities,1,01/01/18
# of injuries,87,01/01/18
Rafah Crossing Opening days,0,01/01/18
Waiting time in months for elective surgeries (e.g. ENT) at Shifa Hospital,11,01/01/18
% of denied and delayed permits to cross EREZ,0.44,01/01/18
Total number of medical applications submitted to EREZ Crossings,2007,01/01/18
Percentage of drugs at Zero Stock,0.45,01/01/18
Quantity of wastewater flows into the sea (Cubic Meter),3338148,01/01/18
Access to piped water (Litre/capita/day),71,01/01/18
Desalination plants production (m3\month,65780,01/01/18
Quality of wastewater flows into the sea (Effluent BOD mg/lt)*,230,01/01/18
Unemployment Rate /Youth,0.49,01/01/18
GDP per capita,425.3,01/01/18
Reduced food quality,0.48,01/01/18
Borrowed food/money from relatives or friends,0.41,01/01/18
% of PA teachers attending,0.424,01/01/18
% of dropout,0.0011,01/01/18
Hours per day (electricity),5,01/02/18
# of days of fuel availability - WASH,0,01/02/18
# of days of fuel availability - HEALTH,0,01/02/18
# of days of fuel availability - SOLID WASTE,0,01/02/18
Monthly fuel reqirement (in million liters) to cover the electrcity shortage,1.4,01/02/18
# of shooting  incidents in ARA Sea/Land,45,01/02/18
# of fatalities,4,01/02/18
# of injuries,166,01/02/18
Rafah Crossing Opening days,7,01/02/18
Waiting time in months for elective surgeries (e.g. ENT) at Shifa Hospital,12,01/02/18
% of denied and delayed permits to cross EREZ,0.37,01/02/18
Total number of medical applications submitted to EREZ Crossings,1801,01/02/18
Percentage of drugs at Zero Stock,0.47,01/02/18
Quantity of wastewater flows into the sea (Cubic Meter),3106118,01/02/18
Access to piped water (Litre/capita/day),72,01/02/18
Desalination plants production (m3\month,63375,01/02/18
Quality of wastewater flows into the sea (Effluent BOD mg/lt)*,229.87,01/02/18
Unemployment Rate /Youth,0.49,01/02/18
GDP per capita,425.3,01/02/18
Reduced food quality,0.53,01/02/18
Borrowed food/money from relatives or friends,0.48,01/02/18
% of PA teachers attending,0.755,01/02/18
% of dropout,0.0016,01/02/18
Hours per day (electricity),5,01/03/18
# of days of fuel availability - WASH,150,01/03/18
# of days of fuel availability - HEALTH,150,01/03/18
# of days of fuel availability - SOLID WASTE,150,01/03/18
Monthly fuel reqirement (in million liters) to cover the electrcity shortage,1.4,01/03/18
# of shooting  incidents in ARA Sea/Land,74,01/03/18
# of fatalities,18,01/03/18
# of injuries,1679,01/03/18
Rafah Crossing Opening days,3,01/03/18
Waiting time in months for elective surgeries (e.g. ENT) at Shifa Hospital,13.5,01/03/18
% of denied and delayed permits to cross EREZ,0.4,01/03/18
Total number of medical applications submitted to EREZ Crossings,1856,01/03/18
Percentage of drugs at Zero Stock,0.45,01/03/18
Quantity of wastewater flows into the sea (Cubic Meter),3300500,01/03/18
Access to piped water (Litre/capita/day),73,01/03/18
Desalination plants production (m3\month,67480,01/03/18
Quality of wastewater flows into the sea (Effluent BOD mg/lt)*,242.84,01/03/18
Unemployment Rate /Youth,0.49,01/03/18
GDP per capita,425.3,01/03/18
Reduced food quality,0.4,01/03/18
Borrowed food/money from relatives or friends,0.42,01/03/18
% of PA teachers attending,0.632,01/03/18
% of dropout,0.0024,01/03/18
Hours per day (electricity),4,01/04/18
# of days of fuel availability - WASH,120,01/04/18
# of days of fuel availability - HEALTH,120,01/04/18
# of days of fuel availability - SOLID WASTE,120,01/04/18
Monthly fuel reqirement (in million liters) to cover the electrcity shortage,1.4,01/04/18
# of shooting  incidents in ARA Sea/Land,92,01/04/18
# of fatalities,32,01/04/18
# of injuries,5315,01/04/18
Rafah Crossing Opening days,7,01/04/18
Waiting time in months for elective surgeries (e.g. ENT) at Shifa Hospital,13,01/04/18
% of denied and delayed permits to cross EREZ,0.47,01/04/18
Total number of medical applications submitted to EREZ Crossings,2037,01/04/18
Percentage of drugs at Zero Stock,0.5,01/04/18
Quantity of wastewater flows into the sea (Cubic Meter),3251438,01/04/18
Access to piped water (Litre/capita/day),72,01/04/18
Desalination plants production (m3\month,65545,01/04/18
Quality of wastewater flows into the sea (Effluent BOD mg/lt)*,242,01/04/18
Unemployment Rate /Youth,0.54,01/04/18
GDP per capita,410.4,01/04/18
Reduced food quality,0.52,01/04/18
Borrowed food/money from relatives or friends,0.46,01/04/18
% of PA teachers attending,0.795,01/04/18
% of dropout,0.0017,01/04/18
Hours per day (electricity),4,01/05/18
# of days of fuel availability - WASH,70,01/05/18
# of days of fuel availability - HEALTH,70,01/05/18
# of days of fuel availability - SOLID WASTE,70,01/05/18
Monthly fuel reqirement (in million liters) to cover the electrcity shortage,1.4,01/05/18
# of shooting  incidents in ARA Sea/Land,54,01/05/18
# of fatalities,80,01/05/18
# of injuries,5981,01/05/18
Rafah Crossing Opening days,20,01/05/18
Waiting time in months for elective surgeries (e.g. ENT) at Shifa Hospital,15,01/05/18
% of denied and delayed permits to cross EREZ,0.41,01/05/18
Total number of medical applications submitted to EREZ Crossings,2224,01/05/18
Percentage of drugs at Zero Stock,0.49,01/05/18
Quantity of wastewater flows into the sea (Cubic Meter),3277049,01/05/18
Access to piped water (Litre/capita/day),72,01/05/18
Desalination plants production (m3\month,65240,01/05/18
Quality of wastewater flows into the sea (Effluent BOD mg/lt)*,245,01/05/18
Unemployment Rate /Youth,0.54,01/05/18
GDP per capita,410.4,01/05/18
Reduced food quality,0.48,01/05/18
Borrowed food/money from relatives or friends,0.46,01/05/18
% of PA teachers attending,0.3721,01/05/18
% of dropout,6.00E-04,01/05/18
Hours per day (electricity),4.5,01/06/18
# of days of fuel availability - WASH,40,01/06/18
# of days of fuel availability - HEALTH,40,01/06/18
# of days of fuel availability - SOLID WASTE,40,01/06/18
Monthly fuel reqirement (in million liters) to cover the electrcity shortage,1.4,01/06/18
# of shooting  incidents in ARA Sea/Land,34,01/06/18
# of fatalities,15,01/06/18
# of injuries,1671,01/06/18
Rafah Crossing Opening days,28,01/06/18
Waiting time in months for elective surgeries (e.g. ENT) at Shifa Hospital,16,01/06/18
% of denied and delayed permits to cross EREZ,0.37,01/06/18
Total number of medical applications submitted to EREZ Crossings,1921,01/06/18
Percentage of drugs at Zero Stock,0.48,01/06/18
Quantity of wastewater flows into the sea (Cubic Meter),3045384,01/06/18
Access to piped water (Litre/capita/day),70.5,01/06/18
Desalination plants production (m3\month,67485,01/06/18
Quality of wastewater flows into the sea (Effluent BOD mg/lt)*,231,01/06/18
Unemployment Rate /Youth,0.54,01/06/18
GDP per capita,410.4,01/06/18
Reduced food quality,0.45,01/06/18
Borrowed food/money from relatives or friends,0.43,01/06/18
Hours per day (electricity),5,01/07/18
# of days of fuel availability - WASH,10,01/07/18
# of days of fuel availability - HEALTH,10,01/07/18
# of days of fuel availability - SOLID WASTE,10,01/07/18
Monthly fuel reqirement (in million liters) to cover the electrcity shortage,1.4,01/07/18
# of shooting  incidents in ARA Sea/Land,58,01/07/18
# of fatalities,21,01/07/18
# of injuries,1430,01/07/18
Rafah Crossing Opening days,24,01/07/18
Waiting time in months for elective surgeries (e.g. ENT) at Shifa Hospital,13,01/07/18
% of denied and delayed permits to cross EREZ,0.4,01/07/18
Total number of medical applications submitted to EREZ Crossings,2336,01/07/18
Percentage of drugs at Zero Stock,0.48,01/07/18
Quantity of wastewater flows into the sea (Cubic Meter),3253813,01/07/18
Access to piped water (Litre/capita/day),71.6,01/07/18
Desalination plants production (m3\month,67760,01/07/18
Quality of wastewater flows into the sea (Effluent BOD mg/lt)*,244,01/07/18
Unemployment Rate /Youth,0.55,01/07/18
GDP per capita,357,01/07/18
Reduced food quality,0.46,01/07/18
Borrowed food/money from relatives or friends,0.4,01/07/18
Hours per day (electricity),5,01/08/18
# of days of fuel availability - WASH,0,01/08/18
# of days of fuel availability - HEALTH,0,01/08/18
# of days of fuel availability - SOLID WASTE,0,01/08/18
Monthly fuel reqirement (in million liters) to cover the electrcity shortage,1.4,01/08/18
# of shooting  incidents in ARA Sea/Land,39,01/08/18
# of fatalities,15,01/08/18
# of injuries,1343,01/08/18
Rafah Crossing Opening days,23,01/08/18
Waiting time in months for elective surgeries (e.g. ENT) at Shifa Hospital,13,01/08/18
% of denied and delayed permits to cross EREZ,0.32,01/08/18
Total number of medical applications submitted to EREZ Crossings,2173,01/08/18
Percentage of drugs at Zero Stock,0.47,01/08/18
Quantity of wastewater flows into the sea (Cubic Meter),3374038,01/08/18
Access to piped water (Litre/capita/day),74,01/08/18
Desalination plants production (m3\month,70263,01/08/18
Quality of wastewater flows into the sea (Effluent BOD mg/lt)*,237,01/08/18
Unemployment Rate /Youth,0.55,01/08/18
GDP per capita,357,01/08/18
Reduced food quality,0.44,01/08/18
Borrowed food/money from relatives or friends,0.39,01/08/18
Hours per day (electricity),5,01/09/18
# of days of fuel availability - WASH,45,01/09/18
# of days of fuel availability - HEALTH,45,01/09/18
# of days of fuel availability - SOLID WASTE,45,01/09/18
Monthly fuel reqirement (in million liters) to cover the electrcity shortage,1.4,01/09/18
# of shooting  incidents in ARA Sea/Land,25,01/09/18
# of fatalities,23,01/09/18
# of injuries,2160,01/09/18
Rafah Crossing Opening days,23,01/09/18
Waiting time in months for elective surgeries (e.g. ENT) at Shifa Hospital,14.5,01/09/18
% of denied and delayed permits to cross EREZ,0.42,01/09/18
Total number of medical applications submitted to EREZ Crossings,1837,01/09/18
Percentage of drugs at Zero Stock,0.47,01/09/18
Quantity of wastewater flows into the sea (Cubic Meter),3252872,01/09/18
Access to piped water (Litre/capita/day),72,01/09/18
Desalination plants production (m3\month,67740,01/09/18
Quality of wastewater flows into the sea (Effluent BOD mg/lt)*,239,01/09/18
Unemployment Rate /Youth,0.55,01/09/18
GDP per capita,357,01/09/18
Reduced food quality,0.39,01/09/18
Borrowed food/money from relatives or friends,0.41,01/09/18
% of PA teachers attending,0.8932,01/09/18
% of dropout,0.0025,01/09/18
Hours per day (electricity),5,01/10/18
# of days of fuel availability - WASH,15,01/10/18
# of days of fuel availability - HEALTH,15,01/10/18
# of days of fuel availability - SOLID WASTE,15,01/10/18
Monthly fuel reqirement (in million liters) to cover the electrcity shortage,1.4,01/10/18
# of shooting  incidents in ARA Sea/Land,25,01/10/18
# of fatalities,25,01/10/18
# of injuries,2201,01/10/18
Rafah Crossing Opening days,22,01/10/18
Waiting time in months for elective surgeries (e.g. ENT) at Shifa Hospital,14.5,01/10/18
% of denied and delayed permits to cross EREZ,0.37,01/10/18
Total number of medical applications submitted to EREZ Crossings,2851,01/10/18
Percentage of drugs at Zero Stock,0.47,01/10/18
Quantity of wastewater flows into the sea (Cubic Meter),3271690,01/10/18
Access to piped water (Litre/capita/day),70,01/10/18
Desalination plants production (m3\month,68133,01/10/18
Quality of wastewater flows into the sea (Effluent BOD mg/lt)*,221,01/10/18
Unemployment Rate /Youth,0.51,01/10/18
Reduced food quality,0.38,01/10/18
Borrowed food/money from relatives or friends,0.47,01/10/18
% of PA teachers attending,0.9292,01/10/18
% of dropout,0.0113,01/10/18
# of days of fuel availability - WASH,0,01/11/18
# of days of fuel availability - HEALTH,0,01/11/18
# of days of fuel availability - SOLID WASTE,0,01/11/18
Monthly fuel reqirement (in million liters) to cover the electrcity shortage,8.40E+05,01/11/18
# of shooting  incidents in ARA Sea/Land,50,01/11/18
# of fatalities,21,01/11/18
# of injuries,1056,01/11/18
Rafah Crossing Opening days,20,01/11/18
Waiting time in months for elective surgeries (e.g. ENT) at Shifa Hospital,14,01/11/18
% of denied and delayed permits to cross EREZ,0.38,01/11/18
Total number of medical applications submitted to EREZ Crossings,2519,01/11/18
Percentage of drugs at Zero Stock,0.39,01/11/18
Quantity of wastewater flows into the sea (Cubic Meter),3360620,01/11/18
Access to piped water (Litre/capita/day),77.5,01/11/18
Desalination plants production (m3\month,69900,01/11/18
Quality of wastewater flows into the sea (Effluent BOD mg/lt)*,203,01/11/18
Unemployment Rate /Youth,0.51,01/11/18
Reduced food quality,0.33,01/11/18
Borrowed food/money from relatives or friends,0.42,01/11/18
% of PA teachers attending,0.9307,01/11/18
% of dropout,0.0031,01/11/18
Hours per day (electricity),14,01/12/18
# of days of fuel availability - WASH,0,01/12/18
# of days of fuel availability - HEALTH,0,01/12/18
# of days of fuel availability - SOLID WASTE,0,01/12/18
Monthly fuel reqirement (in million liters) to cover the electrcity shortage,8.40E+05,01/12/18
# of shooting  incidents in ARA Sea/Land,64,01/12/18
# of fatalities,6,01/12/18
# of injuries,833,01/12/18
Rafah Crossing Opening days,22,01/12/18
Waiting time in months for elective surgeries (e.g. ENT) at Shifa Hospital,13,01/12/18
% of denied and delayed permits to cross EREZ,0.36,01/12/18
Total number of medical applications submitted to EREZ Crossings,2335,01/12/18
Percentage of drugs at Zero Stock,0.42,01/12/18
Quantity of wastewater flows into the sea (Cubic Meter),3308103,01/12/18
Access to piped water (Litre/capita/day),78.4,01/12/18
Desalination plants production (m3\month,68807,01/12/18
Quality of wastewater flows into the sea (Effluent BOD mg/lt)*,223,01/12/18
Unemployment Rate /Youth,0.51,01/12/18
Reduced food quality,0.33,01/12/18
Borrowed food/money from relatives or friends,0.58,01/12/18
% of PA teachers attending,0.982,01/12/18
% of dropout,0.0026,01/12/18
Hours per day (electricity),9,01/01/19
# of days of fuel availability - WASH,0,01/01/19
# of days of fuel availability - HEALTH,0,01/01/19
# of days of fuel availability - SOLID WASTE,0,01/01/19
Monthly fuel reqirement (in million liters) to cover the electrcity shortage,8.40E+05,01/01/19
# of shooting  incidents in ARA Sea/Land,70,01/01/19
# of fatalities,6,01/01/19
# of injuries,1456,01/01/19
Rafah Crossing Opening days,21,01/01/19
Waiting time in months for elective surgeries (e.g. ENT) at Shifa Hospital,14,01/01/19
% of denied and delayed permits to cross EREZ,0.33,01/01/19
Total number of medical applications submitted to EREZ Crossings,2401,01/01/19
Percentage of drugs at Zero Stock,0.42,01/01/19
Quantity of wastewater flows into the sea (Cubic Meter),3604323,01/01/19
Access to piped water (Litre/capita/day),78.9,01/01/19
Desalination plants production (m3\month,74609,01/01/19
Quality of wastewater flows into the sea (Effluent BOD mg/lt)*,221,01/01/19
Reduced food quality,0.3,01/01/19
Borrowed food/money from relatives or friends,0.51,01/01/19
% of PA teachers attending,0.9531,01/01/19
% of dropout,0.0012,01/01/19
